verbatimScientificName
Lobocleta tenellata
Clemensia leopardina
Rhabdatomis laudamia
Crambidia myrlosea
Leptostales crossii
Nephodia auxesia
Nemoria defectiva
Nematocampa arenosa
Patalene aenetusaria
Clemensia cincinnata
Brachurapteryx tesserata
Crambidia cephalica
Glena mopsaria
Iridopsis validaria
Micrathetis dasarada
Lophosis labeculata
Trygodes amphion
Afrida ydatodes
Meganola bifiliferata
Clemensia brunneomedia
Eucereon xanthoperas
Pheia elegans
Idaea subfervens
Hymenia perspectalis
Metanema bonadea
Nematocampa completa
Elaphria subobliqua
Nemoria vermiculata
Bryolymnia roma
Hampsonodes mastoides
Microxydia ruficomma
Hypercompe nemophila
Synchlora astraeoides
Oospila venezuelata
Idalus perlineosa
Dycladia emerita
Melese monima
Eubaphe unicolor
Melese laodamia
Nephodia betala
Elaphria hyposcota
Thysanopyga carfinia
Scena potentia
Aclytia heber
Feltia subterranea
Gonodes liquida
Neotherina imperilla
Lomographa argentata
Simopteryx torquataria
Synchlora gerularia
Synchlora dependens
Simena luctifera
Epimecis semicompleta
Antiblemma pira
Anisoperas atropunctaria
Dyspteris tenuivitta
Anycles adusta
Napata lelex
Opisthoxia miletia
Ametris nitocris
Macrocneme iole
Lichnoptera illudens
Nepheloleuca illiturata
Nemoria pescadora
Semaeopus viridiplaga
Oxydia trychiata
Eucereon tigrata
Lophocampa citrina
Amastus aconia
Antiblemma concinnula
Hyponerita tipolis
Episcepsis thetis
Hypercompe icasia
Hampsonodes melagona
Ramphia albizona
Nemoria eugeniae
Procalypta victorina
Thysanoprymna superba
Dichorda obliquata
Herbita amicaria
Opharus bimaculata
Hyalurga sora
Cliniodes opalalis
Hygrochroma nondina
Leucanopsis longa
Crinodes schausi
Oospila athena
Symphlebia herbosa
Hymenomima umbelularia
Phrudocentra opaca
Amaxia apyga
Leucotmemis nexa
Hemiceras vecina
Eucereon aroa
Phalaenophana pyramusalis
Natada fusca
Dysschema mariamne
Paragonia cruraria
Microphysetica hermeasalis
Talara mona
Xenosoma nigromarginatum
Zale peruncta
Gonodonta paraequalis
Dysschema lycaste
Hypena lollia
Eacles ormondei
Hemiceras modesta
Cosmosoma advena
Phyllodonta latrata
Ammalo helops
Herminodes atrosignata
Eusarca minucia
Pelochyta affinis
Nepheloleuca politia
Diacme mopsalis
Epitausa dilina
Hygrochroma olivinaria
Pyrinia selecta
Opharus rudis
Lepidokirbyia vittipes
Gardinia anopla
Epicrisias eschara
Anomis gentilis
Diphthera festiva
Tosale oviplagalis
Eucereon aurantiaca
Elysius conspersus
Bagisara laverna
Semiothisa divergentata
Symphlebia pyrgion
Hemiceras nigricosta
Amaxia lepida
Chetone angulosa
Prochoerodes pilosa
Nemoria astraea
Hypercompe laeta
Leuciris fimbriaria
Hypena andraca
Rivula leucosticta
Macaria delia
Himeromima aulis
Sphacelodes vulneraria
Leucula meganira
Eumarozia beckeri
Glyphodes extorris
Nemoria aturia
Hypena mactatalis
Eusarca nemora
Prochoerodes striata
Idalus crinis
Brabirodes cerevia
Opisthoxia molpadia
Eucereon centrale
Hypena gaudialis
Hemiceras pernubila
Pantherodes conglomerata
Tosale aucta
Gonodonta holosericea
Halysidota orientalis
Synnomos firmamentaria
Trygodes merta
Letis herilia
Eucereon tripunctatum
Cosmosoma centralis
Artace cribrarius
Antiblemma harmodia
Epitausa atriplaga
Glyphodes rubrocinctalis
Sericoptera mahometaria
Hemiceras punctata
Phrudocentra trimaculata
Altinote ozomene
Phyle cartago
Melese amastris
