occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Lobocleta tenellata","Lobocleta tenellata (Möschler, 1886)","1990261","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lobocleta","Lobocleta tenellata","Lobocleta tenellata","(Möschler, 1886) ","1990261",
,"moth Notodontidae",,,"NONE","100",,,,,,,,,,,,,
,"Iridopsis lurida--oberthuri--herse",,,"NONE","100",,,,,,,,,,,,,
,"Clemensia leopardina","Clemensia leopardina Schaus, 1911","5114902","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Clemensia","Clemensia leopardina","Clemensia leopardina","Schaus, 1911","5114902",
,"Rhabdatomis laudamia","Rhabdatomis laudamia Druce, 1885","1811258","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Rhabdatomis","Rhabdatomis laudamia","Rhabdatomis laudamia","Druce, 1885","1811258",
,"Eupithecia sp_group_san_luis","Eupithecia Curtis, 1825","1982367","HIGHERRANK","92","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eupithecia",,"Eupithecia","Curtis, 1825","1982367",
,"Crambidia myrlosea","Crambidia myrlosea Dyar, 1917","1805542","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Crambidia","Crambidia myrlosea","Crambidia myrlosea","Dyar, 1917","1805542",
,"Leptostales crossii","Leptostales crossii (Hulst, 1900)","9619088","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Leptostales","Leptostales crossii","Leptostales crossii","(Hulst, 1900) ","9619088",
,"moth",,,"NONE","100",,,,,,,,,,,,,
,"Meganola sp_san_luis_b","Meganola Dyar, 1898","4405493","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Meganola",,"Meganola","Dyar, 1898","4405493",
