scientificName,kingdom
Acharia,Animalia
Aclytia heber,Animalia
Anticla antica,Animalia
Apatelodes,Animalia
Apatelodes adrastia,Animalia
Ascalapha odorata,Animalia
Astraptes fulgerator,Animalia
Automeris pallidor,Animalia
Caio championi,Animalia
Cerambycidae,Animalia
Conchylodes terminipuncta,Animalia
Correbidia costinotata,Animalia
Cratoplastis diluta,Animalia
Desmia deploralis,Animalia
Disphragis,Animalia
Eacles imperialis?,Animalia
Eacles ormondei,Animalia
Elateridae,Animalia
Epitausa dilina,Animalia
Euglyphis libnites,Animalia
Glyphodes extorris,Animalia
Heterocampinae,Animalia
Hymenia perspectalis,Animalia
Katydid,Animalia
Macrocneme,Animalia
Manduca rustica,Animalia
Membracidae,Animalia
Nematocampa completa,Animalia
Nemoria,Animalia
Ochrodota tessellata,Animalia
Oospila athena,Animalia
Oospila venezuelata,Animalia
Paragonia cruraria,Animalia
Phrygionis polita,Animalia
Rosema,Animalia
Tamyra ignitalis,Animalia
Thyatira mexicana,Animalia
Truncaptera,Animalia
Unlabeled,Animalia
Wasp,Animalia
Xylophanes ceratomioides,Animalia
Xylophanes zurcheri,Animalia
