Filename,Identifier,ScientificName,CommonName,Comments
"Arta_statalis,_Posturing_Arta_Moth,I_PBA200.jpg",I_PBA200,Arta statalis,Posturing Arta Moth,
"caddisfly,I_PBA202.jpg",I_PBA202,caddisfly,,
"caddisfly,I_PBA203.jpg",I_PBA203,caddisfly,,
"caddisfly,I_PBA204.jpg",I_PBA204,caddisfly,,
"caddisfly,I_PBA205.jpg",I_PBA205,caddisfly,,
"Euchlaena_amoenaria,_Deep_Yellow_Euchlaena,I_PBA207.jpg",I_PBA207,Euchlaena amoenaria,Deep Yellow Euchlaena,
"Epipaschia_superatalis,_Dimorphic_Macalla,I_PBA208.jpg",I_PBA208,Epipaschia superatalis,Dimorphic Macalla,
"Palpita_magniferalis,I_PBA209.jpg",I_PBA209,Palpita magniferalis,,
"Glenoides_texanaria,_Texas_Gray,I_PBA210.jpg",I_PBA210,Glenoides texanaria,Texas Gray,
"Hypagyrtis_unipunctata,_One-spotted_variant,I_PBA211.jpg",I_PBA211,Hypagyrtis unipunctata,One-spotted variant,
"light_back,I_PBA212.jpg",I_PBA212,light back,,
"Ceratomia_undulosa_Waved_Sphinx_Moth,I_PBA213.jpg",I_PBA213,Ceratomia undulosa Waved Sphinx Moth,,
"Ceratomia_undulosa_Waved_Sphinx_Moth,I_PBA214.jpg",I_PBA214,Ceratomia undulosa Waved Sphinx Moth,,
"Probole_amicaria_Friendly_Probole,I_PBA215.jpg",I_PBA215,Probole amicaria Friendly Probole,,
"Arta_statalis,_Posturing_Arta_Moth,I_PBA216.jpg",I_PBA216,Arta statalis,Posturing Arta Moth,
"Melanolophia_canadaria,_Canadian_Melanolophia,I_PBA217.jpg",I_PBA217,Melanolophia canadaria,Canadian Melanolophia,
"Heterocampa_obliqua,_Oblique_Heterocampa,I_PBA218.jpg",I_PBA218,Heterocampa obliqua,Oblique Heterocampa,
"Parapediasia_teterrella,_Bluegrass_Webworm_Moth,_maybe,I_PBA219.jpg",I_PBA219,Parapediasia teterrella,Bluegrass Webworm Moth,maybe
"Crambus_agitatellus,_Double-banded_Grass-veneer_Moth,_maybe,I_PBA220.jpg",I_PBA220,Crambus agitatellus,Double-banded Grass-veneer Moth,maybe
"Heterocampa_obliqua,_Oblique_Heterocampa,I_PBA221.jpg",I_PBA221,Heterocampa obliqua,Oblique Heterocampa,
"Orgyia_leucostigma,_White-marked_Tussock_Moth,I_PBA223.jpg",I_PBA223,Orgyia leucostigma,White-marked Tussock Moth,
"Omphalocera_cariosa,I_PBA224.jpg",I_PBA224,Omphalocera cariosa,,
"Eutrapela_clemataria,_Curve-toothed_Geometer,I_PBA225.jpg",I_PBA225,Eutrapela clemataria,Curve-toothed Geometer,
"Choristoneura_rosaceana,_Oblique-banded_Leafroller_Moth,_maybe,I_PBA226.jpg",I_PBA226,Choristoneura rosaceana,Oblique-banded Leafroller Moth,maybe
"Hypomecis_umbrosaria,I_PBA228.jpg",I_PBA228,Hypomecis umbrosaria,,
"Diatraea_evanescens,I_PBA230.jpg",I_PBA230,Diatraea evanescens,,
"Marimatha_nigrofimbria,_Black-bordered_Lemon_Moth,I_PBA232.jpg",I_PBA232,Marimatha nigrofimbria,Black-bordered Lemon Moth,
"Heterocampa_guttivitta,_Saddled_Prominent,I_PBA233.jpg",I_PBA233,Heterocampa guttivitta,Saddled Prominent,
"Crambus_agitatellus,_Double-banded_Grass-veneer_Moth,_maybe,I_PBA234.jpg",I_PBA234,Crambus agitatellus,Double-banded Grass-veneer Moth,maybe
"Megalopyge_opercularis,_Southern_Flannel_Moth,I_PBA235.jpg",I_PBA235,Megalopyge opercularis,Southern Flannel Moth,
"caddisfly,I_PBA236.jpg",I_PBA236,caddisfly,,
"Arta_statalis,_Posturing_Arta_Moth,I_PBA237.jpg",I_PBA237,Arta statalis,Posturing Arta Moth,
"Dichomeris_inversella--kimballi,I_PBA238.jpg",I_PBA238,Dichomeris inversella--kimballi,,
"Dichomeris_inversella--kimballi,I_PBA239.jpg",I_PBA239,Dichomeris inversella--kimballi,,
"caddisfly,I_PBA240.jpg",I_PBA240,caddisfly,,
"Dichomeris_inversella--kimballi,I_PBA241.jpg",I_PBA241,Dichomeris inversella--kimballi,,
"Eubaphe_mendica,_The_Beggar,I_PBA242.jpg",I_PBA242,Eubaphe mendica,The Beggar,
"caddisfly,I_PBA243.jpg",I_PBA243,caddisfly,,
"Scoparia_basalis,_Many-spotted_Scoparia_Moth,I_PBA244.jpg",I_PBA244,Scoparia basalis,Many-spotted Scoparia Moth,
"Melanolophia_signataria,_Signate_Melanolophia,I_PBA245.jpg",I_PBA245,Melanolophia signataria,Signate Melanolophia,
"Heterocampa_guttivitta,_Saddled_Prominent,I_PBA246.jpg",I_PBA246,Heterocampa guttivitta,Saddled Prominent,
"Glenoides_texanaria,_Texas_Gray,I_PBA247.jpg",I_PBA247,Glenoides texanaria,Texas Gray,
