scientificName
Lobocleta tenellata
Notodontidae
Iridopsis lurida--oberthuri--herse
Clemensia leopardina
Rhabdatomis laudamia
Eupithecia sp_group_san_luis
Crambidia myrlosea
Leptostales crossii
moth
Meganola sp_san_luis_b
Crambidae
Nephodia auxesia
Hemiceras
Nemoria defectiva
Nematocampa arenosa
Lascoria
Tortricidae
Patalene aenetusaria
Clemensia cincinnata
Brachurapteryx tesserata
Crambidia cephalica
Geometridae
Noctuidae
Glena mopsaria
Iridopsis validaria
Micrathetis dasarada
Macaria sp_san_luis_a
Idaea sp_group_san_luis
Cell phone
light
Megalopygidae - Limacodidae
plume
Lophosis labeculata
Trygodes amphion
Pyralidae
emerald
Afrida ydatodes
Meganola bifiliferata
Clemensia brunneomedia
Eucereon xanthoperas
Eucereon rosinum
Pheia elegans
Idaea subfervens
Hymenia perspectalis
insect
Gn sp_san_luis_1013
Metanema bonadea
Palthis
Nematocampa completa
Elaphria subobliqua
Nemoria vermiculata
Epimecis matronaria--nasica
Macaria approximaria--gambarina--ostia
Synnomos sp_san_luis_a
Arctiidae
Euphyia sp_group_san_luis
Bryolymnia roma
Hampsonodes mastoides
Microxydia ruficomma
Hypercompe nemophila
Synchlora astraeoides
Mocis
Oospila venezuelata
Idalus perlineosa
Dycladia emerita
new species
Melese monima
Eubaphe unicolor
Melese laodamia
Nephodia betala
Sphingidae
Elaphria hyposcota
Thysanopyga carfinia
Scena potentia
Aclytia heber
Feltia subterranea
Gonodes liquida
Eois sp_san_luis_s
Neotherina imperilla
Gn sp_san_luis_1011
Lomographa argentata
Gn sp_san_luis_1005
Simopteryx torquataria
Saturniidae
Synchlora gerularia
Synchlora dependens
Eois sp_san_luis_b
Clemensia sp_san_luis_a
Simena luctifera
Epimecis semicompleta
Antiblemma pira
Gn sp_san_luis_1003
Anisoperas atropunctaria
Dyspteris tenuivitta
Macaria abydata--nundinata
Anycles adusta
Napata lelex
Opisthoxia miletia
Pyraidae
merald
Ametris nitocris
Hagnagora sp_san_luis
Periclina sp_san_luis_a
Nematocampa c
Herbita
Macrocneme iole
Isogona continua--natatrix
Lichnoptera illudens
Noctuidae delta
Nepheloleuca illiturata
Nemoria pescadora
Scopula sp_group_san_luis
Semaeopus viridiplaga
Nola sp_san_luis_a
Oxydia trychiata
Melese
Eucereon tigrata
Lophocampa citrina
Hydata
Amastus aconia
Antiblemma concinnula
Spragueia lepus
Hyponerita tipolis
todo
Episcepsis thetis
Hypercompe icasia
Hampsonodes melagona
Pyalidae
Ramphia albizona
Nemoria eugeniae
Procalypta victorina
Itomia opistographa--lignaris
Thysanoprymna superba
Macaria tenuiscripta--trigonata
Dichorda obliquata
Xenosoma flavicedes
Herbita amicaria
Opharus bimaculata
Hyalurga sora
Gelechiidae Dichomeris
Melanolophia sp_san_luis
Cliniodes opalalis
Eois sp_san_luis_f
misc macro
Hygrochroma nondina
Leucanopsis longa
Crinodes schausi
Oospila athena
Symphlebia herbosa
Megaloptera
Hymenomima umbelularia
Phrudocentra opaca
Xylophanes
Amaxia apyga
Leucotmemis nexa
Hemiceras vecina
Eucereon aroa
Phalaenophana pyramusalis
Natada fusca
Dysschema mariamne
Herminodes sp_san_luis_a
Paragonia cruraria
Macrodes
Afrida sp_san_luis_a
Microphysetica hermeasalis
Talara mona
Xenosoma nigromarginatum
Zale peruncta
Gonodonta paraequalis
Perigea leucanoides
Dysschema lycaste
Hypena lollia
Eacles ormondei
misc micro
Gn_sp_san_luis_1014
Antiblemma sp_san_luis_a
Eucereon relegata
Gn sp_san_luis_1004
Hemiceras modesta
Oecophoridae
Cosmosoma advena
Phyllodonta latrata
Anisoperas lurida
Ammalo helops
Gn_sp_san_luis_1028
Herminodes atrosignata
Eusarca minucia
Orthofidonia sp_san_luis_a
Gn sp_san_luis_1028
Pelochyta affinis
Nepheloleuca politia
Diacme mopsalis
Oecophoridae Ethmia
Epitausa dilina
Hygrochroma olivinaria
Pyrinia selecta
wasp
Opharus rudis
Tineidae Nemapogon
Blastobasidae
Lepidokirbyia vittipes
= I_PBA10487
Gardinia anopla
Epicrisias eschara
Anomis gentilis
Depressariidae Ethmia
Diphthera festiva
Tosale oviplagalis
Eucereon aurantiaca
Elysius conspersus
Bagisara laverna
Gn sp_san_luis_1042
Semiothisa divergentata
Darceta
Symphlebia pyrgion
Hemiceras nigricosta
Amaxia lepida
Gn sp_san_luis_2008
Chetone angulosa
mothe Geometridae
Prochoerodes pilosa
Nemoria astraea
Hypercompe laeta
Leuciris fimbriaria
Crambidae Scoparia
Hypena andraca
Rivula leucosticta
Macaria delia
Himeromima aulis
Sphacelodes vulneraria
Leucula meganira
Gn sp_san_luis_2012
Eumarozia beckeri
Glyphodes extorris
Nemoria aturia
Sicya aurunca--medangula
Hypena mactatalis
Gn sp_san_luis_1014
Hypena parialis
Eois sp_san_luis_e
Nemoria sp_san_luis_a
Eusarca nemora
Prochoerodes striata
Idalus crinis
Brabirodes cerevia
Opisthoxia molpadia
Eucereon centrale
Hypena gaudialis
Hemiceras pernubila
Anomis
Prolimacodes montanus--triangulifera
Ptychamalia sp_san_luis_a
Pantherodes conglomerata
Tosale aucta
Gonodonta holosericea
Halysidota orientalis
Synnomos firmamentaria
Amaxia osmophora--pardalis
Trygodes merta
Letis herilia
Eucereon tripunctatum
Gn sp_san_luis_8019
Cosmosoma centralis
Artace cribrarius
Phyllodonta
Antiblemma harmodia
Epitausa atriplaga
Glyphodes rubrocinctalis
Gizma undilinealis
Sericoptera mahometaria
Hemiceras punctata
Phrudocentra trimaculata
Altinote ozomene
Phyle cartago
Eusarca crameraria--green
Melese amastris
Gn_sp_san_luis_1011
Phyllodonta indeterminata
= I_PBA13087
Scaptius vinasia
Microxydia sp_san_luis_a
Crinodes besckei
Argyria lacteella
Eucereon sp_san_luis_c
Racasta spatiaria
Gn sp_san_luis_2028
Cosmosoma pudica
Macaria regulata
Phrudocentra janeira
Pyralidae Acrobasis
Podalia contigua
Therinia transversaria
Oxydia translinquens
Spragueia apicalis
Hypercompe albescens
Rhescyntis hippodamia
= I_PBA14372
species group2
Sericoptera reductata
Argyrotome prospectata
Crinodes ritsemae
Polla hemeraria
Cosmosoma stibostictum
Thysanoprymna haemorrhoides
Macrodes cynara
Hypena livia
Ormetica maura--triangularis
Dysschema magdala
Ormetica taeniata--temperata
Trauaxa lua
Meganola
Syntomeida melanthus
Phalaenophana pyramusalis Dark-banded Owlet
Lepidodes gallopavo
Pantographa expansalis
Sematura luna
Schrankia macula
Polypoetes villia
Urania fulgens
Opisthoxia uncinata
Castrica phalaenoides
Hyalorista sp_san_luis_a
Pseudophaloe troetschi
Hypena hemonalis
Melese asana
Eucereon aeolum
Nematocampa straminea
Isochromodes granula
Eucereon sp_san_luis_a
micro
Morpho peleides
= I_PBA17329
Tornos erectarius
Bagisara patula
Dysschema leucophaea
Cyphoedma transvolutata
truebug
Viviennea ardesiaca
Spilomela pantheralis
Perigea hippia--micrippia
Gonodonta pyrgo
Cathydata batina
Clemensia
Lophocampa modesta
Eulepidotis
Bertholdia albipuncta
Isanthrene monticola
Carales arizonensis--astur
Eucereon patrona
Opisthoxia phrynearia
Eusarca melenda
Semiothisa valmonaria
Herminodes subclara
Ascalapha odorata
= I_PBA20160
