Label,True Positives,True Negatives,False Positives,False Negatives
Rhabdatomis laudamia,663,6234,8,2
Glena mopsaria,485,6417,1,4
Nephodia auxesia,280,6621,2,4
Oospila venezuelata,293,6613,1,0
Nematocampa completa,419,6481,4,3
Crinodes schausi,126,6778,1,2
Lobocleta tenellata,390,6510,1,6
Himeromima aulis,106,6800,1,0
Hymenia perspectalis,286,6617,0,4
Crambidia cephalica,83,6820,2,2
Crambidia myrlosea,62,6837,3,5
Nemoria vermiculata,110,6793,3,1
Micrathetis dasarada,173,6731,0,3
Clemensia leopardina,189,6715,1,2
Lophosis labeculata,199,6705,2,1
Trygodes amphion,94,6810,1,2
Afrida ydatodes,173,6734,0,0
Metanema bonadea,132,6771,2,2
Nemoria defectiva,84,6821,1,1
Clemensia brunneomedia,146,6759,1,1
Cliniodes opalalis,0,6823,0,84
Phyllodonta latrata,90,6815,1,1
Lomographa argentata,85,6819,2,1
Patalene aenetusaria,0,6796,0,111
Thysanopyga carfinia,94,6812,0,1
Leptostales crossii,114,6791,0,2
Clemensia cincinnata,101,6803,1,2
Oospila athena,37,6870,0,0
Brachurapteryx tesserata,8,6899,0,0
Iridopsis validaria,71,6836,0,0
Epimecis semicompleta,38,6868,0,1
Paragonia cruraria,44,6860,0,3
Anisoperas atropunctaria,80,6822,5,0
Ametris nitocris,67,6839,0,1
Semaeopus viridiplaga,37,6869,0,1
Melese monima,48,6856,0,3
Macrocneme iole,0,6868,0,39
Opisthoxia miletia,41,6865,1,0
Oxydia trychiata,39,6866,1,1
Eucereon xanthoperas,46,6860,0,1
Herbita amicaria,38,6866,3,0
Pelochyta affinis,27,6880,0,0
Hygrochroma olivinaria,60,6845,0,2
Synchlora gerularia,52,6855,0,0
Dysschema lycaste,31,6874,0,2
Phalaenophana pyramusalis,56,6848,1,2
Nematocampa arenosa,54,6851,1,1
Synchlora dependens,54,6853,0,0
Simopteryx torquataria,5,6899,0,3
Euglyphis libnites,43,6864,0,0
Microphysetica hermeasalis,49,6857,1,0
Nemoria pescadora,13,6892,0,2
Epicrisias eschara,0,6900,0,7
Semiothisa divergentata,0,6877,0,30
Opharus rudis,24,6883,0,0
Hymenomima umbelularia,41,6864,1,1
Neotherina imperilla,31,6872,1,3
Hypercompe nemophila,28,6879,0,0
Eucereon tigrata,32,6873,2,0
Rivula leucosticta,38,6869,0,0
Antiblemma pira,42,6862,0,3
Synchlora astraeoides,36,6870,1,0
Prochoerodes pilosa,10,6895,0,2
Aclytia heber,17,6889,0,1
Hampsonodes mastoides,24,6882,0,1
Nemoria astraea,11,6894,0,2
Nephodia betala,15,6890,2,0
Macaria delia,24,6882,1,0
Sphacelodes vulneraria,11,6895,0,1
Nepheloleuca illiturata,5,6901,0,1
Pyrinia selecta,30,6877,0,0
Amaxia apyga,22,6885,0,0
Dyspteris tenuivitta,9,6898,0,0
Nemoria aturia,11,6896,0,0
Hampsonodes melagona,18,6884,2,3
Meganola bifiliferata,24,6883,0,0
Gonodes liquida,20,6886,0,1
Leucanopsis longa,4,6902,1,0
