id,name,rank,details,GENUS,SUBFAMILY,FAMILY,SUPERFAMILY,ORDER,SPECIES,SUBTRIBE,TRIBE
11313,Abablemma discipuncta,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11313/,Abablemma,Scolecocampinae,Erebidae,Noctuoidea,Lepidoptera,Abablemma discipuncta,,
11311,Abablemma grandimacula,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11311/,Abablemma,Scolecocampinae,Erebidae,Noctuoidea,Lepidoptera,Abablemma grandimacula,,
8862,Abablemma sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/8862/,Abablemma,Scolecocampinae,Erebidae,Noctuoidea,Lepidoptera,,,
11312,Abablemma ulopus,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11312/,Abablemma,Scolecocampinae,Erebidae,Noctuoidea,Lepidoptera,Abablemma ulopus,,
4953,Abagrotis alternata,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4953/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis alternata,Noctuina,Noctuini
6534,Abagrotis anchocelioides,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6534/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis anchocelioides,Noctuina,Noctuini
6536,Abagrotis benjamini,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6536/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis benjamini,Noctuina,Noctuini
6537,Abagrotis brunneipennis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6537/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis brunneipennis,Noctuina,Noctuini
6533,Abagrotis cupida,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6533/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis cupida,Noctuina,Noctuini
4954,Abagrotis forbesi,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4954/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis forbesi,Noctuina,Noctuini
6535,Abagrotis nefascia,SPECIES,https://api.dev.insectai.org/api/v2/taxa/6535/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis nefascia,Noctuina,Noctuini
4955,Abagrotis orbis,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4955/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis orbis,Noctuina,Noctuini
4956,Abagrotis placida,SPECIES,https://api.dev.insectai.org/api/v2/taxa/4956/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,Abagrotis placida,Noctuina,Noctuini
4952,Abagrotis sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/4952/,Abagrotis,Noctuinae,Noctuidae,Noctuoidea,Lepidoptera,,Noctuina,Noctuini
11310,Ablita grammalogica,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11310/,Ablita,,Noctuidae,Noctuoidea,Lepidoptera,Ablita grammalogica,,
11309,Ablita nymphica,SPECIES,https://api.dev.insectai.org/api/v2/taxa/11309/,Ablita,,Noctuidae,Noctuoidea,Lepidoptera,Ablita nymphica,,
9136,Ablita sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/9136/,Ablita,,Noctuidae,Noctuoidea,Lepidoptera,,,
2697,Abraxas grossulariata,SPECIES,https://api.dev.insectai.org/api/v2/taxa/2697/,Abraxas,Ennominae,Geometridae,Geometroidea,Lepidoptera,Abraxas grossulariata,,Abraxini
2695,Abraxas pantaria,SPECIES,https://api.dev.insectai.org/api/v2/taxa/2695/,Abraxas,Ennominae,Geometridae,Geometroidea,Lepidoptera,Abraxas pantaria,,Abraxini
2694,Abraxas sp.,GENUS,https://api.dev.insectai.org/api/v2/taxa/2694/,Abraxas,Ennominae,Geometridae,Geometroidea,Lepidoptera,,,Abraxini
2696,Abraxas sylvata,SPECIES,https://api.dev.insectai.org/api/v2/taxa/2696/,Abraxas,Ennominae,Geometridae,Geometroidea,Lepidoptera,Abraxas sylvata,,Abraxini
11326,Abraxini,TRIBE,https://api.dev.insectai.org/api/v2/taxa/11326/,,Ennominae,Geometridae,Geometroidea,Lepidoptera,,,Abraxini
5595,Abrenthia cuprea,SPECIES,https://api.dev.insectai.org/api/v2/taxa/5595/,Abrenthia,Glyphipteriginae,Glyphipterigidae,Yponomeutoidea,Lepidoptera,Abrenthia cuprea,,
