Filename,Identifier,scientificName,CommonName,Comments,ScientificName
"Lobocleta_tenellata,I_PBA25000.jpg",I_PBA25000,Lobocleta tenellata,,,
"moth_Notodontidae,I_PBA25001.jpg",I_PBA25001,Notodontidae,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25002.jpg",I_PBA25002,Iridopsis lurida--oberthuri--herse,,,
"Clemensia_leopardina,I_PBA25003.jpg",I_PBA25003,Clemensia leopardina,,,
"Rhabdatomis_laudamia,I_PBA25004.jpg",I_PBA25004,Rhabdatomis laudamia,,,
"Eupithecia_sp_group_san_luis,I_PBA25005.jpg",I_PBA25005,Eupithecia sp_group_san_luis,,,
"Crambidia_myrlosea,I_PBA25006.jpg",I_PBA25006,Crambidia myrlosea,,,
"Leptostales_crossii,I_PBA25007.jpg",I_PBA25007,Leptostales crossii,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25008.jpg",I_PBA25008,Iridopsis lurida--oberthuri--herse,,,
"moth,I_PBA25009.jpg",I_PBA25009,moth,,,
"Meganola_sp_san_luis_b,I_PBA25010.jpg",I_PBA25010,Meganola sp_san_luis_b,,,
"Rhabdatomis_laudamia,I_PBA25011.jpg",I_PBA25011,Rhabdatomis laudamia,,,
"moth_Crambidae,I_PBA25012.jpg",I_PBA25012,Crambidae,,,
"Rhabdatomis_laudamia,I_PBA25013.jpg",I_PBA25013,Rhabdatomis laudamia,,,
"Nephodia_auxesia,I_PBA25014.jpg",I_PBA25014,Nephodia auxesia,,,
"moth_Notodontidae,I_PBA25015.jpg",I_PBA25015,Notodontidae,,,
"moth_Hemiceras,I_PBA25016.jpg",I_PBA25016,Hemiceras,,,
"Nemoria_defectiva,I_PBA25017.jpg",I_PBA25017,Nemoria defectiva,,,
"Nematocampa_arenosa,I_PBA25018.jpg",I_PBA25018,Nematocampa arenosa,,,
"moth_Hemiceras,I_PBA25019.jpg",I_PBA25019,Hemiceras,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25020.jpg",I_PBA25020,Iridopsis lurida--oberthuri--herse,,,
"moth_Lascoria,I_PBA25021.jpg",I_PBA25021,Lascoria,,,
"moth_Hemiceras,I_PBA25022.jpg",I_PBA25022,Hemiceras,,,
"moth_Tortricidae,I_PBA25023.jpg",I_PBA25023,Tortricidae,,,
"Patalene_aenetusaria,I_PBA25024.jpg",I_PBA25024,Patalene aenetusaria,,,
"moth_Notodontidae,I_PBA25025.jpg",I_PBA25025,Notodontidae,,,
"Clemensia_cincinnata,I_PBA25026.jpg",I_PBA25026,Clemensia cincinnata,,,
"moth_Notodontidae,I_PBA25027.jpg",I_PBA25027,Notodontidae,,,
"Nephodia_auxesia,I_PBA25028.jpg",I_PBA25028,Nephodia auxesia,,,
"Brachurapteryx_tesserata,I_PBA25029.jpg",I_PBA25029,Brachurapteryx tesserata,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25030.jpg",I_PBA25030,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Notodontidae,I_PBA25031.jpg",I_PBA25031,Notodontidae,,,
"moth,I_PBA25032.jpg",I_PBA25032,moth,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25033.jpg",I_PBA25033,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Geometridae,I_PBA25034.jpg",I_PBA25034,Geometridae,,,
"moth_Noctuidae,I_PBA25035.jpg",I_PBA25035,Noctuidae,,,
"Rhabdatomis_laudamia,I_PBA25036.jpg",I_PBA25036,Rhabdatomis laudamia,,,
"moth_Notodontidae,I_PBA25037.jpg",I_PBA25037,Notodontidae,,,
"Eupithecia_sp_group_san_luis,I_PBA25038.jpg",I_PBA25038,Eupithecia sp_group_san_luis,,,
"moth_Notodontidae,I_PBA25039.jpg",I_PBA25039,Notodontidae,,,
"Lobocleta_tenellata,I_PBA25040.jpg",I_PBA25040,Lobocleta tenellata,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25041.jpg",I_PBA25041,Iridopsis lurida--oberthuri--herse,,,
"Lobocleta_tenellata,I_PBA25042.jpg",I_PBA25042,Lobocleta tenellata,,,
"moth,I_PBA25043.jpg",I_PBA25043,moth,,,
"Glena_mopsaria,I_PBA25044.jpg",I_PBA25044,Glena mopsaria,,,
"Iridopsis_validaria,I_PBA25045.jpg",I_PBA25045,Iridopsis validaria,,,
"Leptostales_crossii,I_PBA25046.jpg",I_PBA25046,Leptostales crossii,,,
"moth_Crambidae,I_PBA25047.jpg",I_PBA25047,Crambidae,,,
"moth_Crambidae,I_PBA25048.jpg",I_PBA25048,Crambidae,,,
"moth,I_PBA25049.jpg",I_PBA25049,moth,,,
"Micrathetis_dasarada,I_PBA25050.jpg",I_PBA25050,Micrathetis dasarada,,,
"moth,I_PBA25051.jpg",I_PBA25051,moth,,,
"Macaria_sp_san_luis_a,I_PBA25052.jpg",I_PBA25052,Macaria sp_san_luis_a,,,
"Idaea_sp_group_san_luis,I_PBA25053.jpg",I_PBA25053,Idaea sp_group_san_luis,,,
"Cell_phone,I_PBA25054.jpg",I_PBA25054,Cell phone,,,
"light,I_PBA25055.jpg",I_PBA25055,light,,,
"moth_Megalopygidae_-_Limacodidae,I_PBA25056.jpg",I_PBA25056,Megalopygidae - Limacodidae,,,
"Rhabdatomis_laudamia,I_PBA25057.jpg",I_PBA25057,Rhabdatomis laudamia,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25058.jpg",I_PBA25058,Iridopsis lurida--oberthuri--herse,,,
"Patalene_aenetusaria,I_PBA25059.jpg",I_PBA25059,Patalene aenetusaria,,,
"moth_plume,I_PBA25060.jpg",I_PBA25060,plume,,,
"Rhabdatomis_laudamia,I_PBA25061.jpg",I_PBA25061,Rhabdatomis laudamia,,,
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25062.jpg",I_PBA25062,Lophosis labeculata,Stained Lophosis Moth,,
"moth_Hemiceras,I_PBA25063.jpg",I_PBA25063,Hemiceras,,,
"Trygodes_amphion,I_PBA25064.jpg",I_PBA25064,Trygodes amphion,,,
"Meganola_sp_san_luis_b,I_PBA25065.jpg",I_PBA25065,Meganola sp_san_luis_b,,,
"moth_Pyralidae,I_PBA25066.jpg",I_PBA25066,Pyralidae,,,
"moth,I_PBA25067.jpg",I_PBA25067,moth,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25068.jpg",I_PBA25068,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Noctuidae,I_PBA25069.jpg",I_PBA25069,Noctuidae,,,
"moth_emerald,I_PBA25070.jpg",I_PBA25070,emerald,,,
"Lobocleta_tenellata,I_PBA25071.jpg",I_PBA25071,Lobocleta tenellata,,,
"moth_Notodontidae,I_PBA25072.jpg",I_PBA25072,Notodontidae,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25073.jpg",I_PBA25073,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25074.jpg",I_PBA25074,Afrida ydatodes,Dyars Lichen Moth,,
"Meganola_bifiliferata,I_PBA25075.jpg",I_PBA25075,Meganola bifiliferata,,,
"Clemensia_brunneomedia,I_PBA25076.jpg",I_PBA25076,Clemensia brunneomedia,,,
"Clemensia_leopardina,I_PBA25077.jpg",I_PBA25077,Clemensia leopardina,,,
"Patalene_aenetusaria,I_PBA25078.jpg",I_PBA25078,Patalene aenetusaria,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25079.jpg",I_PBA25079,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Eucereon_xanthoperas,I_PBA25080.jpg",I_PBA25080,Eucereon xanthoperas,,,
"Idaea_sp_group_san_luis,I_PBA25081.jpg",I_PBA25081,Idaea sp_group_san_luis,,,
"moth_emerald,I_PBA25082.jpg",I_PBA25082,emerald,,,
"moth_Megalopygidae_-_Limacodidae,I_PBA25083.jpg",I_PBA25083,Megalopygidae - Limacodidae,,,
"moth_Notodontidae,I_PBA25084.jpg",I_PBA25084,Notodontidae,,,
"Eucereon_rosinum,I_PBA25085.jpg",I_PBA25085,Eucereon rosinum,,,
"Rhabdatomis_laudamia,I_PBA25086.jpg",I_PBA25086,Rhabdatomis laudamia,,,
"Pheia_elegans,I_PBA25087.jpg",I_PBA25087,Pheia elegans,,,
"Nephodia_auxesia,I_PBA25088.jpg",I_PBA25088,Nephodia auxesia,,,
"moth_Crambidae,I_PBA25089.jpg",I_PBA25089,Crambidae,,,
"Rhabdatomis_laudamia,I_PBA25090.jpg",I_PBA25090,Rhabdatomis laudamia,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25091.jpg",I_PBA25091,Crambidia cephalica,Yellow-headed Lichen Moth,,
"Rhabdatomis_laudamia,I_PBA25092.jpg",I_PBA25092,Rhabdatomis laudamia,,,
"moth_Noctuidae,I_PBA25093.jpg",I_PBA25093,Noctuidae,,,
"moth_Geometridae,I_PBA25094.jpg",I_PBA25094,Geometridae,,,
"Iridopsis_lurida--oberthuri--herse,I_PBA25095.jpg",I_PBA25095,Iridopsis lurida--oberthuri--herse,,,
"Idaea_subfervens,I_PBA25096.jpg",I_PBA25096,Idaea subfervens,,,
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25097.jpg",I_PBA25097,Hymenia perspectalis,Spotted Beet Webworm Moth,,
"Patalene_aenetusaria,I_PBA25098.jpg",I_PBA25098,Patalene aenetusaria,,,
"moth_Notodontidae,I_PBA25099.jpg",I_PBA25099,Notodontidae,,,
"insect,I_PBA25100.jpg",I_PBA25100,insect,,,
"Gn_sp_san_luis_1013,I_PBA25102.jpg",I_PBA25102,Gn sp_san_luis_1013,,,
"moth_Megalopygidae_-_Limacodidae,I_PBA25103.jpg",I_PBA25103,Megalopygidae - Limacodidae,,,
"moth_Crambidae,I_PBA25104.jpg",I_PBA25104,Crambidae,,,
"moth_Noctuidae,I_PBA25105.jpg",I_PBA25105,Noctuidae,,,
"moth_Notodontidae,I_PBA25106.jpg",I_PBA25106,Notodontidae,,,
"Metanema_bonadea,I_PBA25107.jpg",I_PBA25107,Metanema bonadea,,,
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25108.jpg",I_PBA25108,Crambidia cephalica,Yellow-headed Lichen Moth,,
"moth_Palthis,I_PBA25109.jpg",I_PBA25109,Palthis,,,
"moth,I_PBA25110.jpg",I_PBA25110,moth,,,
