Filename,scientificName
"Lobocleta_tenellata,I_PBA25000.jpg",Lobocleta tenellata
"Clemensia_leopardina,I_PBA25003.jpg",Clemensia leopardina
"Rhabdatomis_laudamia,I_PBA25004.jpg",Rhabdatomis laudamia
"Crambidia_myrlosea,I_PBA25006.jpg",Crambidia myrlosea
"Leptostales_crossii,I_PBA25007.jpg",Leptostales crossii
"Rhabdatomis_laudamia,I_PBA25011.jpg",Rhabdatomis laudamia
"Rhabdatomis_laudamia,I_PBA25013.jpg",Rhabdatomis laudamia
"Nephodia_auxesia,I_PBA25014.jpg",Nephodia auxesia
"Nemoria_defectiva,I_PBA25017.jpg",Nemoria defectiva
"Nematocampa_arenosa,I_PBA25018.jpg",Nematocampa arenosa
"Patalene_aenetusaria,I_PBA25024.jpg",Patalene aenetusaria
"Clemensia_cincinnata,I_PBA25026.jpg",Clemensia cincinnata
"Nephodia_auxesia,I_PBA25028.jpg",Nephodia auxesia
"Brachurapteryx_tesserata,I_PBA25029.jpg",Brachurapteryx tesserata
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25030.jpg",Crambidia cephalica
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25033.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25036.jpg",Rhabdatomis laudamia
"Lobocleta_tenellata,I_PBA25040.jpg",Lobocleta tenellata
"Lobocleta_tenellata,I_PBA25042.jpg",Lobocleta tenellata
"Glena_mopsaria,I_PBA25044.jpg",Glena mopsaria
"Iridopsis_validaria,I_PBA25045.jpg",Iridopsis validaria
"Leptostales_crossii,I_PBA25046.jpg",Leptostales crossii
"Micrathetis_dasarada,I_PBA25050.jpg",Micrathetis dasarada
"Rhabdatomis_laudamia,I_PBA25057.jpg",Rhabdatomis laudamia
"Patalene_aenetusaria,I_PBA25059.jpg",Patalene aenetusaria
"Rhabdatomis_laudamia,I_PBA25061.jpg",Rhabdatomis laudamia
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25062.jpg",Lophosis labeculata
"Trygodes_amphion,I_PBA25064.jpg",Trygodes amphion
