Filename,scientificName
"Lobocleta_tenellata,I_PBA25000.jpg",Lobocleta tenellata
"moth_Notodontidae,I_PBA25001.jpg",Notodontidae
"Clemensia_leopardina,I_PBA25003.jpg",Clemensia leopardina
"Rhabdatomis_laudamia,I_PBA25004.jpg",Rhabdatomis laudamia
"Crambidia_myrlosea,I_PBA25006.jpg",Crambidia myrlosea
"Leptostales_crossii,I_PBA25007.jpg",Leptostales crossii
"Rhabdatomis_laudamia,I_PBA25011.jpg",Rhabdatomis laudamia
"moth_Crambidae,I_PBA25012.jpg",Crambidae
"Rhabdatomis_laudamia,I_PBA25013.jpg",Rhabdatomis laudamia
"Nephodia_auxesia,I_PBA25014.jpg",Nephodia auxesia
"moth_Notodontidae,I_PBA25015.jpg",Notodontidae
"moth_Hemiceras,I_PBA25016.jpg",Hemiceras
"Nemoria_defectiva,I_PBA25017.jpg",Nemoria defectiva
"Nematocampa_arenosa,I_PBA25018.jpg",Nematocampa arenosa
"moth_Hemiceras,I_PBA25019.jpg",Hemiceras
"moth_Lascoria,I_PBA25021.jpg",Lascoria
"moth_Hemiceras,I_PBA25022.jpg",Hemiceras
"moth_Tortricidae,I_PBA25023.jpg",Tortricidae
"Patalene_aenetusaria,I_PBA25024.jpg",Patalene aenetusaria
"moth_Notodontidae,I_PBA25025.jpg",Notodontidae
"Clemensia_cincinnata,I_PBA25026.jpg",Clemensia cincinnata
"moth_Notodontidae,I_PBA25027.jpg",Notodontidae
"Nephodia_auxesia,I_PBA25028.jpg",Nephodia auxesia
"Brachurapteryx_tesserata,I_PBA25029.jpg",Brachurapteryx tesserata
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25030.jpg",Crambidia cephalica
"moth_Notodontidae,I_PBA25031.jpg",Notodontidae
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25033.jpg",Crambidia cephalica
"moth_Geometridae,I_PBA25034.jpg",Geometridae
"moth_Noctuidae,I_PBA25035.jpg",Noctuidae
"Rhabdatomis_laudamia,I_PBA25036.jpg",Rhabdatomis laudamia
"moth_Notodontidae,I_PBA25037.jpg",Notodontidae
"moth_Notodontidae,I_PBA25039.jpg",Notodontidae
"Lobocleta_tenellata,I_PBA25040.jpg",Lobocleta tenellata
"Lobocleta_tenellata,I_PBA25042.jpg",Lobocleta tenellata
"Glena_mopsaria,I_PBA25044.jpg",Glena mopsaria
"Iridopsis_validaria,I_PBA25045.jpg",Iridopsis validaria
"Leptostales_crossii,I_PBA25046.jpg",Leptostales crossii
"moth_Crambidae,I_PBA25047.jpg",Crambidae
"moth_Crambidae,I_PBA25048.jpg",Crambidae
"Micrathetis_dasarada,I_PBA25050.jpg",Micrathetis dasarada
"Rhabdatomis_laudamia,I_PBA25057.jpg",Rhabdatomis laudamia
"Patalene_aenetusaria,I_PBA25059.jpg",Patalene aenetusaria
"Rhabdatomis_laudamia,I_PBA25061.jpg",Rhabdatomis laudamia
"Lophosis_labeculata,_Stained_Lophosis_Moth,I_PBA25062.jpg",Lophosis labeculata
"moth_Hemiceras,I_PBA25063.jpg",Hemiceras
"Trygodes_amphion,I_PBA25064.jpg",Trygodes amphion
"moth_Pyralidae,I_PBA25066.jpg",Pyralidae
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25068.jpg",Crambidia cephalica
"moth_Noctuidae,I_PBA25069.jpg",Noctuidae
"Lobocleta_tenellata,I_PBA25071.jpg",Lobocleta tenellata
"moth_Notodontidae,I_PBA25072.jpg",Notodontidae
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25073.jpg",Crambidia cephalica
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25074.jpg",Afrida ydatodes
"Meganola_bifiliferata,I_PBA25075.jpg",Meganola bifiliferata
"Clemensia_brunneomedia,I_PBA25076.jpg",Clemensia brunneomedia
"Clemensia_leopardina,I_PBA25077.jpg",Clemensia leopardina
"Patalene_aenetusaria,I_PBA25078.jpg",Patalene aenetusaria
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25079.jpg",Crambidia cephalica
"Eucereon_xanthoperas,I_PBA25080.jpg",Eucereon xanthoperas
"moth_Notodontidae,I_PBA25084.jpg",Notodontidae
"Rhabdatomis_laudamia,I_PBA25086.jpg",Rhabdatomis laudamia
"Pheia_elegans,I_PBA25087.jpg",Pheia elegans
"Nephodia_auxesia,I_PBA25088.jpg",Nephodia auxesia
"moth_Crambidae,I_PBA25089.jpg",Crambidae
"Rhabdatomis_laudamia,I_PBA25090.jpg",Rhabdatomis laudamia
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25091.jpg",Crambidia cephalica
"Rhabdatomis_laudamia,I_PBA25092.jpg",Rhabdatomis laudamia
"moth_Noctuidae,I_PBA25093.jpg",Noctuidae
"moth_Geometridae,I_PBA25094.jpg",Geometridae
"Idaea_subfervens,I_PBA25096.jpg",Idaea subfervens
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_PBA25097.jpg",Hymenia perspectalis
"Patalene_aenetusaria,I_PBA25098.jpg",Patalene aenetusaria
"moth_Notodontidae,I_PBA25099.jpg",Notodontidae
"moth_Crambidae,I_PBA25104.jpg",Crambidae
"moth_Noctuidae,I_PBA25105.jpg",Noctuidae
"moth_Notodontidae,I_PBA25106.jpg",Notodontidae
"Metanema_bonadea,I_PBA25107.jpg",Metanema bonadea
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25108.jpg",Crambidia cephalica
"moth_Palthis,I_PBA25109.jpg",Palthis
"moth_Notodontidae,I_PBA25111.jpg",Notodontidae
"Rhabdatomis_laudamia,I_PBA25112.jpg",Rhabdatomis laudamia
"moth_Noctuidae,I_PBA25113.jpg",Noctuidae
"moth_Crambidae,I_PBA25114.jpg",Crambidae
"Nematocampa_completa,I_PBA25115.jpg",Nematocampa completa
"Elaphria_subobliqua,I_PBA25117.jpg",Elaphria subobliqua
"moth_Notodontidae,I_PBA25118.jpg",Notodontidae
"Nemoria_vermiculata,I_PBA25119.jpg",Nemoria vermiculata
"moth_Geometridae,I_PBA25120.jpg",Geometridae
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25122.jpg",Afrida ydatodes
"Crambidia_cephalica,_Yellow-headed_Lichen_Moth,I_PBA25123.jpg",Crambidia cephalica
"moth_Crambidae,I_PBA25124.jpg",Crambidae
"moth_Notodontidae,I_PBA25125.jpg",Notodontidae
"moth_Hemiceras,I_PBA25127.jpg",Hemiceras
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_PBA25129.jpg",Afrida ydatodes
"moth_Noctuidae,I_PBA25130.jpg",Noctuidae
"moth_Crambidae,I_PBA25132.jpg",Crambidae
"moth_Noctuidae,I_PBA25133.jpg",Noctuidae
"moth_Geometridae,I_PBA25135.jpg",Geometridae
"Patalene_aenetusaria,I_PBA25136.jpg",Patalene aenetusaria
"moth_Arctiidae,I_PBA25139.jpg",Arctiidae
"Nemoria_defectiva,I_PBA25140.jpg",Nemoria defectiva
"Lobocleta_tenellata,I_PBA25142.jpg",Lobocleta tenellata
"moth_Geometridae,I_PBA25143.jpg",Geometridae
"Bryolymnia_roma,I_PBA25145.jpg",Bryolymnia roma
"moth_Crambidae,I_PBA25147.jpg",Crambidae
"Hampsonodes_mastoides,I_PBA25148.jpg",Hampsonodes mastoides
"Trygodes_amphion,I_PBA25149.jpg",Trygodes amphion
"Microxydia_ruficomma,I_PBA25150.jpg",Microxydia ruficomma
"moth_Noctuidae,I_PBA25151.jpg",Noctuidae
"moth_Notodontidae,I_PBA25152.jpg",Notodontidae
"Hypercompe_nemophila,I_PBA25153.jpg",Hypercompe nemophila
"moth_Geometridae,I_PBA25154.jpg",Geometridae
"moth_Crambidae,I_PBA25155.jpg",Crambidae
"moth_Noctuidae,I_PBA25157.jpg",Noctuidae
"moth_Pyralidae,I_PBA25159.jpg",Pyralidae
