Filename,Identifier,scientificName,CommonName,Comments
"moth_Notodontidae,I_MFS11800.jpg",I_MFS11800,moth Notodontidae,,
"Glena_mopsaria,I_MFS11801.jpg",I_MFS11801,Glena mopsaria,,
"moth_Geometridae,I_MFS11802.jpg",I_MFS11802,moth Geometridae,,
"Paragonia_cruraria,I_MFS11803.jpg",I_MFS11803,Paragonia cruraria,,
"moth,I_MFS11804.jpg",I_MFS11804,moth,,
"Afrida_ydatodes,_Dyars_Lichen_Moth,I_MFS11805.jpg",I_MFS11805,Afrida ydatodes,Dyars Lichen Moth,
"moth_Notodontidae,I_MFS11806.jpg",I_MFS11806,moth Notodontidae,,
"Scopula_compensata,I_MFS11807.jpg",I_MFS11807,Scopula compensata,,
"moth_Geometridae,I_MFS11808.jpg",I_MFS11808,moth Geometridae,,
"Himeromima_aulis,I_MFS11809.jpg",I_MFS11809,Himeromima aulis,,
"Trygodes_amphion,I_MFS11810.jpg",I_MFS11810,Trygodes amphion,,
"moth_Notodontidae,I_MFS11811.jpg",I_MFS11811,moth Notodontidae,,
"Rhabdatomis_laudamia,I_MFS11812.jpg",I_MFS11812,Rhabdatomis laudamia,,
"moth_Geometridae,I_MFS11813.jpg",I_MFS11813,moth Geometridae,,
"Nemoria_vermiculata,I_MFS11814.jpg",I_MFS11814,Nemoria vermiculata,,
"moth_Geometridae,I_MFS11815.jpg",I_MFS11815,moth Geometridae,,
"Synchlora_gerularia,I_MFS11816.jpg",I_MFS11816,Synchlora gerularia,,
"Nemoria_vermiculata,I_MFS11817.jpg",I_MFS11817,Nemoria vermiculata,,
"Nemoria_vermiculata,I_MFS11818.jpg",I_MFS11818,Nemoria vermiculata,,
"Eois_sp_san_luis_b,I_MFS11819.jpg",I_MFS11819,Eois sp_san_luis_b,,
"moth_Geometridae,I_MFS11820.jpg",I_MFS11820,moth Geometridae,,
"moth_Geometridae,I_MFS11821.jpg",I_MFS11821,moth Geometridae,,
"insect,I_MFS11822.jpg",I_MFS11822,insect,,
