Filename,Identifier,scientificName,CommonName,Comments
"moth_Saturniidae,I_MFS4400.jpg",I_MFS4400,moth Saturniidae,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4401.jpg",I_MFS4401,moth Megalopygidae - Limacodidae,,
"insect,I_MFS4402.jpg",I_MFS4402,insect,,
"moth_Eucereon,I_MFS4403.jpg",I_MFS4403,moth Eucereon,,
"moth,I_MFS4404.jpg",I_MFS4404,moth,,
"Trygodes_amphion,I_MFS4405.jpg",I_MFS4405,Trygodes amphion,,
"moth_Geometridae,I_MFS4406.jpg",I_MFS4406,moth Geometridae,,
"moth_Geometridae,I_MFS4407.jpg",I_MFS4407,moth Geometridae,,
"moth_Noctuidae,I_MFS4408.jpg",I_MFS4408,moth Noctuidae,,
"moth_Geometridae,I_MFS4409.jpg",I_MFS4409,moth Geometridae,,
"beetle,I_MFS4410.jpg",I_MFS4410,beetle,,
"insect,I_MFS4411.jpg",I_MFS4411,insect,,
"Crinodes_schausi,I_MFS4412.jpg",I_MFS4412,Crinodes schausi,,
"moth,I_MFS4413.jpg",I_MFS4413,moth,,
"Semaeopus_viridiplaga,I_MFS4414.jpg",I_MFS4414,Semaeopus viridiplaga,,
"moth_Notodontidae,I_MFS4415.jpg",I_MFS4415,moth Notodontidae,,
"insect,I_MFS4416.jpg",I_MFS4416,insect,,
"moth,I_MFS4417.jpg",I_MFS4417,moth,,
"moth_Noctuidae,I_MFS4418.jpg",I_MFS4418,moth Noctuidae,,
"moth,I_MFS4419.jpg",I_MFS4419,moth,,
"Ptychamalia_sp_san_luis_a,I_MFS4420.jpg",I_MFS4420,Ptychamalia sp_san_luis_a,,
"insect,I_MFS4421.jpg",I_MFS4421,insect,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4422.jpg",I_MFS4422,moth Megalopygidae - Limacodidae,,
"Gn_sp_san_luis_1014,I_MFS4423.jpg",I_MFS4423,Gn_sp_san_luis_1014,,
"moth_Hemiceras,I_MFS4424.jpg",I_MFS4424,moth Hemiceras,,
"beetle,I_MFS4425.jpg",I_MFS4425,beetle,,
"moth,I_MFS4426.jpg",I_MFS4426,moth,,
"moth,I_MFS4427.jpg",I_MFS4427,moth,,
"insect,I_MFS4428.jpg",I_MFS4428,insect,,
"moth_Geometridae,I_MFS4429.jpg",I_MFS4429,moth Geometridae,,
"moth_Saturniidae,I_MFS4430.jpg",I_MFS4430,moth Saturniidae,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4431.jpg",I_MFS4431,moth Megalopygidae - Limacodidae,,
"moth,I_MFS4432.jpg",I_MFS4432,moth,,
"Gonodonta_sinaldus,I_MFS4433.jpg",I_MFS4433,Gonodonta sinaldus,,
"moth,I_MFS4434.jpg",I_MFS4434,moth,,
"moth_Saturniidae,I_MFS4435.jpg",I_MFS4435,moth Saturniidae,,
"moth_Geometridae,I_MFS4436.jpg",I_MFS4436,moth Geometridae,,
"insect,I_MFS4437.jpg",I_MFS4437,insect,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4438.jpg",I_MFS4438,moth Megalopygidae - Limacodidae,,
"insect,I_MFS4439.jpg",I_MFS4439,insect,,
"Nemoria_astraea,I_MFS4440.jpg",I_MFS4440,Nemoria astraea,,
"moth,I_MFS4441.jpg",I_MFS4441,moth,,
"Dysschema_lycaste,I_MFS4442.jpg",I_MFS4442,Dysschema lycaste,,
"Euphyia_sp_group_san_luis,I_MFS4443.jpg",I_MFS4443,Euphyia sp_group_san_luis,,
"Hymenia_perspectalis,_Spotted_Beet_Webworm_Moth,I_MFS4444.jpg",I_MFS4444,Hymenia perspectalis,Spotted Beet Webworm Moth,
"insect,I_MFS4445.jpg",I_MFS4445,insect,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4446.jpg",I_MFS4446,moth Megalopygidae - Limacodidae,,
"Mesocia_dumilla,I_MFS4447.jpg",I_MFS4447,Mesocia dumilla,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4448.jpg",I_MFS4448,moth Megalopygidae - Limacodidae,,
"moth,I_MFS4449.jpg",I_MFS4449,moth,,
"Hypena_mactatalis,I_MFS4450.jpg",I_MFS4450,Hypena mactatalis,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4451.jpg",I_MFS4451,moth Megalopygidae - Limacodidae,,
"Crinodes_schausi,I_MFS4452.jpg",I_MFS4452,Crinodes schausi,,
"moth,I_MFS4453.jpg",I_MFS4453,moth,,
"Synnomos_sp_san_luis_a,I_MFS4454.jpg",I_MFS4454,Synnomos sp_san_luis_a,,
"moth_Palthis,I_MFS4455.jpg",I_MFS4455,moth Palthis,,
"Gn_sp_san_luis_2008,I_MFS4456.jpg",I_MFS4456,Gn sp_san_luis_2008,,
"Rhabdatomis_laudamia,I_MFS4457.jpg",I_MFS4457,Rhabdatomis laudamia,,
"moth,I_MFS4458.jpg",I_MFS4458,moth,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4459.jpg",I_MFS4459,moth Megalopygidae - Limacodidae,,
"moth_Hemiceras,I_MFS4460.jpg",I_MFS4460,moth Hemiceras,,
"moth_Geometridae,I_MFS4461.jpg",I_MFS4461,moth Geometridae,,
"moth_Geometridae,I_MFS4462.jpg",I_MFS4462,moth Geometridae,,
"moth_Saturniidae,I_MFS4463.jpg",I_MFS4463,moth Saturniidae,,
"fly,I_MFS4464.jpg",I_MFS4464,fly,,
"moth_Noctuidae,I_MFS4465.jpg",I_MFS4465,moth Noctuidae,,
"Crinodes_schausi,I_MFS4466.jpg",I_MFS4466,Crinodes schausi,,
"Gn_sp_san_luis_1014,I_MFS4467.jpg",I_MFS4467,Gn_sp_san_luis_1014,,
"Crinodes_schausi,I_MFS4468.jpg",I_MFS4468,Crinodes schausi,,
"Phyllodonta_latrata,I_MFS4469.jpg",I_MFS4469,Phyllodonta latrata,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4470.jpg",I_MFS4470,moth Megalopygidae - Limacodidae,,
"moth_Megalopygidae_-_Limacodidae,I_MFS4471.jpg",I_MFS4471,moth Megalopygidae - Limacodidae,,
"moth_Crambidae,I_MFS4472.jpg",I_MFS4472,moth Crambidae,,
"moth_Saturniidae,I_MFS4473.jpg",I_MFS4473,moth Saturniidae,,
"moth_Saturniidae,I_MFS4474.jpg",I_MFS4474,moth Saturniidae,,
"moth,I_MFS4475.jpg",I_MFS4475,moth,,
"moth_Saturniidae,I_MFS4476.jpg",I_MFS4476,moth Saturniidae,,
"moth,I_MFS4477.jpg",I_MFS4477,moth,,
"Rhabdatomis_laudamia,I_MFS4478.jpg",I_MFS4478,Rhabdatomis laudamia,,
