Filename,Identifier,ScientificName,CommonName,Comments
"Metanema_bonadea,I_PBA1.jpg",I_PBA1,Metanema bonadea,,
"Glaphyria_glaphyralis,_Common_Glaphyria_Moth,_maybe,I_PBA2.jpg",I_PBA2,Glaphyria glaphyralis,Common Glaphyria Moth,maybe
"Autosticha_kyotensis,_maybe,I_PBA3.jpg",I_PBA3,Autosticha kyotensis,maybe,
"Lochmaeus_bilineata,_Double-lined_Prominent,I_PBA4.jpg",I_PBA4,Lochmaeus bilineata,Double-lined Prominent,
"Melanolophia_signataria,_Signate_Melanolophia,I_PBA5.jpg",I_PBA5,Melanolophia signataria,Signate Melanolophia,
"Eutrapela_clemataria,_Curve-toothed_Geometer,I_PBA6.jpg",I_PBA6,Eutrapela clemataria,Curve-toothed Geometer,
"Ectropis_crepuscularia,_The_Small_Engrailed,I_PBA7.jpg",I_PBA7,Ectropis crepuscularia,The Small Engrailed,
"Baileya_ophthalmica,_Eyed_Baileya,I_PBA8.jpg",I_PBA8,Baileya ophthalmica,Eyed Baileya,
"light_back,I_PBA9.jpg",I_PBA9,light back,,
"Eupithecia_miserulata,_Common_Eupithecia_Moth,I_PBA10.jpg",I_PBA10,Eupithecia miserulata,Common Eupithecia Moth,
"Antaeotricha_leucillana,_Pale_Gray_Bird-dropping_Moth,I_PBA11.jpg",I_PBA11,Antaeotricha leucillana,Pale Gray Bird-dropping Moth,
"Eutrapela_clemataria,_Curve-toothed_Geometer,I_PBA13.jpg",I_PBA13,Eutrapela clemataria,Curve-toothed Geometer,
"Hypagyrtis_unipunctata,_One-spotted_Variant,_Melanolophia_signataria,_Signate_Melanolophia,I_PBA14.jpg",I_PBA14,Hypagyrtis unipunctata,One-spotted Variant,Melanolophia signataria
"Anavitrinella_pampinaria,_Common_Gray,I_PBA17.jpg",I_PBA17,Anavitrinella pampinaria,Common Gray,
"caddisfly,I_PBA19.jpg",I_PBA19,caddisfly,,
"Choristoneura_rosaceana,_Oblique-banded_Leafroller_Moth,_maybe,I_PBA20.jpg",I_PBA20,Choristoneura rosaceana,Oblique-banded Leafroller Moth,maybe
"Peridea_basitriens,_Oval-Based_Prominent,I_PBA21.jpg",I_PBA21,Peridea basitriens,Oval-Based Prominent,
"Hypagyrtis_unipunctata,_One-spotted_Variant,I_PBA22.jpg",I_PBA22,Hypagyrtis unipunctata,One-spotted Variant,
"Idia_aemula,_Common_Idia,I_PBA23.jpg",I_PBA23,Idia aemula,Common Idia,
