Filename,Identifier,scientificName,CommonName,Comments
"moth,I_PBA35700.jpg",I_PBA35700,moth,,
"moth,I_PBA35701.jpg",I_PBA35701,moth,,
"moth,I_PBA35702.jpg",I_PBA35702,moth,,
"moth,I_PBA35703.jpg",I_PBA35703,moth,,
"moth,I_PBA35704.jpg",I_PBA35704,moth,,
"moth_Geometridae,I_PBA35705.jpg",I_PBA35705,moth Geometridae,,
"moth,I_PBA35706.jpg",I_PBA35706,moth,,
"moth,I_PBA35707.jpg",I_PBA35707,moth,,
"moth_Geometridae,I_PBA35708.jpg",I_PBA35708,moth Geometridae,,
"moth,I_PBA35709.jpg",I_PBA35709,moth,,
"moth,I_PBA35710.jpg",I_PBA35710,moth,,
"moth,I_PBA35711.jpg",I_PBA35711,moth,,
"moth,I_PBA35712.jpg",I_PBA35712,moth,,
"moth,I_PBA35713.jpg",I_PBA35713,moth,,
"moth,I_PBA35714.jpg",I_PBA35714,moth,,
"moth_Geometridae,I_PBA35715.jpg",I_PBA35715,moth Geometridae,,
"moth,I_PBA35716.jpg",I_PBA35716,moth,,
"moth,I_PBA35717.jpg",I_PBA35717,moth,,
"moth_Geometridae,I_PBA35718.jpg",I_PBA35718,moth Geometridae,,
"moth,I_PBA35719.jpg",I_PBA35719,moth,,
"moth,I_PBA35720.jpg",I_PBA35720,moth,,
"moth,I_PBA35721.jpg",I_PBA35721,moth,,
"moth,I_PBA35722.jpg",I_PBA35722,moth,,
"moth,I_PBA35723.jpg",I_PBA35723,moth,,
"moth,I_PBA35724.jpg",I_PBA35724,moth,,
"moth,I_PBA35725.jpg",I_PBA35725,moth,,
"moth,I_PBA35726.jpg",I_PBA35726,moth,,
"moth,I_PBA35727.jpg",I_PBA35727,moth,,
"moth_Noctuidae_delta,I_PBA35728.jpg",I_PBA35728,moth Noctuidae delta,,
"moth,I_PBA35729.jpg",I_PBA35729,moth,,
"moth,I_PBA35730.jpg",I_PBA35730,moth,,
"moth,I_PBA35731.jpg",I_PBA35731,moth,,
"moth,I_PBA35732.jpg",I_PBA35732,moth,,
"moth_Geometridae,I_PBA35733.jpg",I_PBA35733,moth Geometridae,,
"moth_Geometridae,I_PBA35734.jpg",I_PBA35734,moth Geometridae,,
"moth,I_PBA35735.jpg",I_PBA35735,moth,,
"moth,I_PBA35736.jpg",I_PBA35736,moth,,
"moth,I_PBA35737.jpg",I_PBA35737,moth,,
"moth,I_PBA35738.jpg",I_PBA35738,moth,,
"moth,I_PBA35739.jpg",I_PBA35739,moth,,
"moth,I_PBA35740.jpg",I_PBA35740,moth,,
"moth,I_PBA35741.jpg",I_PBA35741,moth,,
"moth,I_PBA35742.jpg",I_PBA35742,moth,,
"moth,I_PBA35743.jpg",I_PBA35743,moth,,
"moth_Geometridae,I_PBA35744.jpg",I_PBA35744,moth Geometridae,,
"moth,I_PBA35745.jpg",I_PBA35745,moth,,
"insect,I_PBA35746.jpg",I_PBA35746,insect,,
"moth,I_PBA35747.jpg",I_PBA35747,moth,,
"moth,I_PBA35748.jpg",I_PBA35748,moth,,
"moth,I_PBA35749.jpg",I_PBA35749,moth,,
"moth,I_PBA35750.jpg",I_PBA35750,moth,,
"moth,I_PBA35751.jpg",I_PBA35751,moth,,
"moth,I_PBA35752.jpg",I_PBA35752,moth,,
"moth,I_PBA35753.jpg",I_PBA35753,moth,,
"moth,I_PBA35754.jpg",I_PBA35754,moth,,
"moth,I_PBA35755.jpg",I_PBA35755,moth,,
"moth,I_PBA35756.jpg",I_PBA35756,moth,,
"moth_Geometridae,I_PBA35757.jpg",I_PBA35757,moth Geometridae,,
"moth_Geometridae,I_PBA35758.jpg",I_PBA35758,moth Geometridae,,
"moth,I_PBA35759.jpg",I_PBA35759,moth,,
"moth,I_PBA35760.jpg",I_PBA35760,moth,,
"moth,I_PBA35761.jpg",I_PBA35761,moth,,
"moth,I_PBA35762.jpg",I_PBA35762,moth,,
"moth,I_PBA35763.jpg",I_PBA35763,moth,,
"moth,I_PBA35764.jpg",I_PBA35764,moth,,
"moth,I_PBA35765.jpg",I_PBA35765,moth,,
"moth,I_PBA35766.jpg",I_PBA35766,moth,,
"moth,I_PBA35767.jpg",I_PBA35767,moth,,
"moth,I_PBA35768.jpg",I_PBA35768,moth,,
"moth,I_PBA35769.jpg",I_PBA35769,moth,,
"moth,I_PBA35770.jpg",I_PBA35770,moth,,
"moth_Geometridae,I_PBA35771.jpg",I_PBA35771,moth Geometridae,,
"moth,I_PBA35772.jpg",I_PBA35772,moth,,
"moth,I_PBA35773.jpg",I_PBA35773,moth,,
"moth,I_PBA35774.jpg",I_PBA35774,moth,,
"moth_Noctuidae_delta,I_PBA35775.jpg",I_PBA35775,moth Noctuidae delta,,
"moth_Geometridae,I_PBA35776.jpg",I_PBA35776,moth Geometridae,,
"moth,I_PBA35777.jpg",I_PBA35777,moth,,
"moth_Geometridae,I_PBA35778.jpg",I_PBA35778,moth Geometridae,,
"moth_Geometridae,I_PBA35779.jpg",I_PBA35779,moth Geometridae,,
"moth,I_PBA35780.jpg",I_PBA35780,moth,,
"moth,I_PBA35781.jpg",I_PBA35781,moth,,
